Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
NBL	NOBLE ENERGY INC	655044105	Coal	USD	Basic Materials	Independent Oil & Gas	2016-11-04	None	None	None	NYSE	1311	199485	TEXAS, U.S.A	None	N
NBN	NORTHEAST BANCORP	663904209	Banking	USD	Financial	Asset Management	2016-11-10	None	None	None	NASDAQ	6022	198355	MAINE, U.S.A	None	N
NBR	NABORS INDUSTRIES LTD	G6359F103	Coal	USD	Basic Materials	Oil & Gas Drilling & Exploration	2016-11-03	None	None	None	NYSE	1381	195680	BERMUDA	None	N
NBY	NovaBay Pharmaceuticals, Inc.	66987P102	Pharmaceutical Products	USD	Healthcare	Drug Manufacturers - Other	2016-11-11	None	None	None	NYSEMKT	2834	194121	CALIFORNIA, U.S.A	None	N
NCI	NAVIGANT CONSULTING INC	63935N107	Business Services	USD	Services	Management Services	2016-10-26	None	None	None	NYSE	8742	197018	ILLINOIS, U.S.A	None	N
NCIT	NCI, Inc.	62886K104	Computers	USD	Services	Business Services	2016-11-08	None	None	None	NASDAQ	7373	194749	VIRGINIA, U.S.A	None	N
NCLH	Norwegian Cruise Line Holdings Ltd.	G66721104	Shipping Containers	USD	Services	Resorts & Casinos	2016-11-10	None	None	None	NASDAQ	4400	192490	FLORIDA, U.S.A	None	N
NCR	NCR CORP	62886E108	Computers	USD	Technology	Information Technology Services	2016-10-29	None	None	None	NYSE	3578	199494	GEORGIA, U.S.A	None	N
NCS	NCI BUILDING SYSTEMS INC	628852204	Construction Materials	USD	Industrial Goods	General Building Materials	2016-09-01	None	None	None	NYSE	3448	197842	TEXAS, U.S.A	None	N
NDAQ	NASDAQ, INC.	631103108	Trading	USD	Financial	Diversified Investments	2016-11-09	None	None	None	NASDAQ	6200	196000	NEW YORK, U.S.A	None	N
NDLS	NOODLES & Co	65540B105	Restaraunts, Hotels, Motels	USD	Services	Specialty Eateries	2016-11-08	None	None	None	NASDAQ	5812	195262	COLORADO, U.S.A	None	N
NDSN	NORDSON CORP	655663102	Machinery	USD	Industrial Goods	Diversified Machinery	2016-09-07	None	None	None	NASDAQ	3569	199483	OHIO, U.S.A	None	N
NE	NOBLE CORP	H5833N103	Coal	USD	Basic Materials	Oil & Gas Equipment & Services	2016-11-08	None	None	None	NYSE	1381	195633	TEXAS, U.S.A	None	N
NEE	NEXTERA ENERGY INC	65339F101	Utilities	USD	Utilities	Electric Utilities	2016-11-02	None	None	None	NYSE	4911	198642	FLORIDA, U.S.A	None	N
NEM	NEWMONT MINING CORP	651639106	Precious Metals	USD	Basic Materials	Gold	2016-10-27	None	None	None	NYSE	1040	195674	COLORADO, U.S.A	None	N
NEO	NEOGENOMICS INC	64049M209	Business Services	USD	Healthcare	Medical Laboratories & Research	2016-11-08	None	None	None	NASDAQ	8734	196438	FLORIDA, U.S.A	None	N
NEP	NextEra Energy Partners, LP	65341B106	Utilities	USD	Utilities	Electric Utilities	2016-11-01	None	None	None	NYSE	4911	187504	FLORIDA, U.S.A	None	N
NEU	NEWMARKET CORP	651587107	Chemicals	USD	Industrial Goods	Specialty Chemicals	2016-10-28	None	None	None	NYSE	2860	195213	VIRGINIA, U.S.A	None	N
NEWM	New Media Investment Group Inc.	64704V106	Printing and Publishing	USD	Services	Publishing - Newspapers	2016-10-28	None	None	None	NYSE	2711	191403	NEW YORK, U.S.A	None	N
NFBK	Northfield Bancorp, Inc.	66611T108	Banking	USD	Financial	Investment Brokerage - National	2016-11-10	None	None	None	NASDAQ	6035	192857	NEW JERSEY, U.S.A	None	N
NFG	NATIONAL FUEL GAS CO	636180101	Utilities	USD	Basic Materials	Independent Oil & Gas	2016-11-19	None	None	None	NYSE	4924	199502	NEW YORK, U.S.A	None	N
NFLX	NETFLIX INC	64110L106	Entertainment	USD	Services	CATV Systems	2016-10-21	None	None	None	NASDAQ	7841	196547	CALIFORNIA, U.S.A	None	N
NFX	NEWFIELD EXPLORATION CO	651290108	Coal	USD	Basic Materials	Independent Oil & Gas	2016-11-02	None	None	None	NYSE	1311	197557	TEXAS, U.S.A	None	N
NGHC	National General Holdings Corp.	636220303	Insurance	USD	Financial	Property & Casualty Insurance	2016-11-09	None	None	None	NASDAQ	6331	185751	NEW YORK, U.S.A	None	N
NGL	NGL Energy Partners LP	62913M107	Wholesale	USD	Financial	Credit Services	2016-11-08	None	None	None	NYSE	5172	192638	OKLAHOMA, U.S.A	None	N
NGLS	Targa Resources Partners LP	87611X105	Utilities	USD	Basic Materials	Oil & Gas Pipelines	2016-09-06	None	None	None	DELISTED	4922	194260	TEXAS, U.S.A	NYSE	N
NI	NISOURCE INC	65473P105,65473P113	Utilities	USD	Utilities	Diversified Utilities	2016-11-02	None	None	None	NYSE	4931	196052	INDIANA, U.S.A	None	N
NKA	Niska Gas Storage Partners LLC	654678101	Utilities	USD	Basic Materials	Oil & Gas Pipelines	2016-09-13	None	None	None	DELISTED	4922	193025	PENNSYLVANIA, U.S.A	NYSE	N
NKE	NIKE INC	654106103	Consumer Goods	USD	Consumer Goods	Textile - Apparel Footwear & Accessories	2016-10-12	None	None	None	NYSE	3021	199060	OREGON, U.S.A	None	N
